,gyrMag-min,gyrMag-max,gyrMag-mean,gyrMag-median,gyrMag-std,gyrMag-IQR,gyrMag-RMS,gyrMag-MCR,gyrMag-Kurt,gyrMag-Skew,gyrMag-frEnergy,gyrMag-PeakFreq,gyrMag-frDmEntroPy,gyrMag-frMag1,gyrMag-frMag2,gyrMag-frMag3,gyrMag-frMag4,gyrMag-frMag5,accMag-min,accMag-max,accMag-mean,accMag-median,accMag-std,accMag-IQR,accMag-RMS,accMag-MCR,accMag-Kurt,accMag-Skew,accMag-frEnergy,accMag-PeakFreq,accMag-frDmEntroPy,accMag-frMag1,accMag-frMag2,accMag-frMag3,accMag-frMag4,accMag-frMag5
112,6.195,138.096,55.193,54.049,29.343,34.979,62.37,0.4,0.357,0.763,95.776,1.6,3.134,5.912,4.136,3.756,4.283,4.067,6.348,18.411,10.8,10.485,2.555,2.452,11.092,0.48,1.379,1.041,7.852,2.6,3.041,0.366,0.276,0.019,0.154,0.06
113,14.92,77.716,36.074,33.125,14.659,20.166,38.884,0.52,0.081,0.727,47.619,2.4,3.128,3.252,1.135,0.787,2.302,3.101,5.632,14.567,9.954,9.69,1.806,2.807,10.113,0.74,-0.127,0.179,5.397,4.4,3.008,0.06,0.231,0.165,0.113,0.05
114,7.124,87.289,40.401,38.941,21.35,32.847,45.595,0.26,-0.777,0.412,60.383,0.2,2.996,8.149,2.582,7.422,1.773,2.885,6.955,13.66,9.923,9.869,1.195,1.036,9.994,0.52,2.506,0.826,3.74,2.4,3.069,0.159,0.021,0.174,0.082,0.07
115,10.673,103.888,36.864,37.184,18.211,21.902,41.036,0.4,2.675,1.222,53.879,0.4,3.011,1.868,6.714,1.594,4.279,0.799,6.897,15.39,10.075,10.093,1.76,1.901,10.225,0.68,0.715,0.675,5.036,4.2,2.979,0.023,0.091,0.151,0.164,0.109
116,11.682,185.203,72.078,70.438,36.667,58.428,80.702,0.36,0.209,0.607,105.413,2.0,2.996,3.728,6.75,4.729,9.842,2.633,6.587,16.445,10.061,9.691,2.265,2.376,10.308,0.44,0.915,0.999,6.729,0.2,3.015,0.653,0.11,0.295,0.256,0.251
117,16.064,124.111,54.939,54.72,24.313,34.54,59.979,0.38,-0.094,0.578,76.411,0.2,3.095,6.145,5.287,4.453,5.317,1.072,7.73,13.272,10.248,10.231,1.081,1.217,10.304,0.66,0.259,0.172,3.089,4.0,2.98,0.111,0.027,0.059,0.075,0.023
118,8.85,132.906,52.053,51.578,27.645,33.625,58.809,0.38,0.402,0.729,81.797,0.6,3.041,0.946,4.836,10.265,1.064,6.173,5.954,15.235,9.908,9.885,1.855,2.278,10.077,0.68,0.139,0.074,5.481,4.8,2.974,0.12,0.037,0.17,0.087,0.181
119,8.675,162.19,51.319,44.287,33.977,36.64,61.36,0.24,2.006,1.403,92.94,0.2,2.955,12.304,5.391,12.11,5.242,1.574,5.746,14.586,10.086,10.03,1.564,1.528,10.204,0.68,1.45,0.29,4.908,4.0,3.094,0.117,0.09,0.093,0.118,0.116
120,8.88,561.146,77.266,54.996,81.571,47.165,111.762,0.36,23.027,4.38,263.561,0.2,3.135,24.736,11.129,12.469,19.675,13.897,3.459,15.998,10.392,10.244,2.549,1.596,10.694,0.48,0.978,-0.304,8.087,3.6,3.094,0.227,0.214,0.135,0.04,0.194
121,9.854,120.265,45.342,43.691,26.275,30.873,52.273,0.58,1.113,1.215,81.536,1.4,3.073,2.714,5.184,3.188,1.249,4.964,6.095,13.442,10.223,10.242,1.727,1.859,10.365,0.62,-0.162,-0.29,5.324,4.4,3.071,0.07,0.039,0.137,0.136,0.13
