,gyrMag-min,gyrMag-max,gyrMag-mean,gyrMag-median,gyrMag-std,gyrMag-IQR,gyrMag-RMS,gyrMag-MCR,gyrMag-Kurt,gyrMag-Skew,gyrMag-frEnergy,gyrMag-PeakFreq,gyrMag-frDmEntroPy,gyrMag-frMag1,gyrMag-frMag2,gyrMag-frMag3,gyrMag-frMag4,gyrMag-frMag5,accMag-min,accMag-max,accMag-mean,accMag-median,accMag-std,accMag-IQR,accMag-RMS,accMag-MCR,accMag-Kurt,accMag-Skew,accMag-frEnergy,accMag-PeakFreq,accMag-frDmEntroPy,accMag-frMag1,accMag-frMag2,accMag-frMag3,accMag-frMag4,accMag-frMag5
349,28.861,286.93,151.386,143.678,68.77,102.976,165.99,0.32,-0.81,0.194,203.396,0.4,3.023,14.909,23.514,15.057,3.671,3.909,5.534,25.463,10.826,9.849,4.254,3.523,11.617,0.48,2.948,1.71,13.139,4.2,3.067,0.124,0.341,0.284,0.174,0.532
350,28.863,299.867,129.036,120.324,59.903,85.557,142.01,0.48,0.112,0.664,166.171,2.6,2.964,4.012,9.634,2.328,7.738,3.662,4.92,21.996,10.746,9.491,4.116,4.5,11.493,0.54,0.754,1.126,8.999,4.8,2.705,0.054,0.332,0.137,0.137,0.314
351,30.33,251.574,137.394,136.374,52.903,74.657,147.037,0.56,-0.586,0.199,159.353,2.4,3.05,9.147,1.974,3.529,4.194,4.616,5.44,21.191,10.445,9.725,3.289,3.211,10.941,0.58,1.306,1.151,8.378,2.4,2.807,0.066,0.116,0.224,0.225,0.112
352,39.97,304.793,144.504,141.482,64.051,81.83,157.803,0.54,-0.036,0.602,207.311,1.0,3.12,8.566,12.957,2.004,2.128,14.192,5.372,24.824,10.773,10.118,4.157,3.91,11.532,0.54,3.164,1.652,12.887,4.4,3.059,0.455,0.023,0.197,0.794,0.207
353,20.996,349.788,146.326,131.13,68.758,89.783,161.383,0.54,0.272,0.63,208.89,5.0,2.992,4.849,2.435,12.911,2.245,5.801,5.485,19.803,10.542,10.17,2.849,4.192,10.913,0.8,0.67,0.751,7.658,4.8,2.942,0.172,0.098,0.184,0.158,0.055
354,14.139,214.959,110.107,105.081,54.033,90.328,122.412,0.5,-0.996,0.135,175.23,2.2,3.13,8.085,8.4,9.423,5.899,4.208,5.418,18.871,10.611,9.932,2.949,3.983,11.005,0.66,0.32,0.874,8.376,4.4,2.993,0.236,0.118,0.094,0.201,0.299
355,15.6,284.343,135.218,132.059,66.745,82.882,150.499,0.5,-0.315,0.338,211.85,2.6,3.105,13.327,5.886,7.021,4.71,13.576,4.511,24.172,10.805,9.444,4.624,4.972,11.734,0.56,0.868,1.211,13.933,4.6,3.037,0.094,0.401,0.618,0.166,0.227
356,29.852,290.652,105.009,92.078,53.001,50.769,117.388,0.42,2.696,1.625,167.989,2.6,3.098,6.028,10.293,9.163,7.674,4.136,5.263,19.543,10.62,9.982,3.309,3.212,11.113,0.48,0.829,1.07,8.911,2.6,2.894,0.413,0.099,0.216,0.424,0.184
357,13.355,316.064,147.103,143.162,63.926,80.414,160.138,0.52,0.005,0.278,195.536,2.8,3.05,7.567,6.973,11.014,3.438,11.611,4.52,21.346,10.463,9.553,3.388,3.348,10.987,0.62,2.646,1.462,10.143,4.4,3.022,0.247,0.27,0.323,0.098,0.392
358,47.087,367.411,191.127,186.447,62.241,81.99,200.813,0.5,0.292,0.355,202.22,2.8,3.107,7.572,4.869,2.591,5.955,8.794,4.39,26.905,11.686,10.418,4.909,6.422,12.656,0.52,0.793,1.018,16.065,2.8,3.128,0.572,0.463,0.307,0.832,0.837
360,40.809,280.41,135.495,134.409,54.124,76.572,145.704,0.42,-0.124,0.36,168.545,0.4,3.074,9.507,15.238,7.08,5.732,11.767,6.105,22.783,10.535,9.877,3.268,2.296,11.021,0.5,4.245,1.944,9.681,4.6,3.013,0.373,0.075,0.108,0.572,0.131
361,10.302,197.854,101.13,91.828,46.236,58.355,111.006,0.5,-0.566,0.144,150.724,2.2,3.109,0.446,4.122,7.032,3.974,4.934,6.185,18.268,10.318,10.164,2.644,3.433,10.645,0.5,0.337,0.646,7.648,2.8,2.989,0.204,0.233,0.334,0.229,0.026
362,59.132,297.326,152.885,138.394,59.314,96.773,163.773,0.6,-0.775,0.452,191.363,2.6,3.108,4.148,0.876,5.883,11.873,7.762,5.719,21.372,10.552,9.697,3.49,4.699,11.104,0.6,0.9,1.133,8.885,4.8,2.861,0.274,0.118,0.054,0.12,0.291
363,23.444,271.085,147.001,138.211,56.209,73.588,157.18,0.58,-0.468,0.267,164.319,4.6,3.002,7.463,8.975,4.421,2.192,1.489,5.718,23.657,10.835,9.65,4.421,3.62,11.686,0.46,1.409,1.46,12.616,4.6,2.998,0.236,0.166,0.456,0.123,0.808
364,28.08,255.591,134.75,125.128,62.262,109.831,148.177,0.48,-1.063,0.26,162.287,2.4,2.939,3.493,8.573,1.552,3.01,4.965,6.089,21.545,10.256,9.354,3.271,4.181,10.755,0.56,1.423,1.113,9.392,5.0,2.912,0.078,0.186,0.112,0.071,0.038
365,41.275,262.017,114.676,101.704,54.943,83.951,126.921,0.56,0.372,0.852,174.778,4.6,3.08,6.276,8.666,4.917,9.777,9.688,5.414,21.815,10.306,9.367,3.639,4.023,10.918,0.52,1.01,1.197,10.953,2.8,3.048,0.232,0.454,0.306,0.274,0.272
366,11.696,300.996,102.572,82.945,71.104,93.255,124.401,0.36,-0.227,0.734,211.871,0.2,3.028,25.234,15.77,12.417,2.828,9.57,6.407,14.745,10.287,9.76,2.124,3.193,10.499,0.44,-0.639,0.457,6.7,4.6,3.101,0.242,0.209,0.161,0.36,0.096
367,13.163,166.868,82.353,74.232,40.297,53.271,91.506,0.42,-0.582,0.366,121.463,0.2,3.028,12.053,7.878,5.265,8.0,5.595,7.714,15.387,10.271,10.067,1.5,1.632,10.377,0.64,2.13,1.169,4.359,4.4,2.983,0.064,0.099,0.09,0.127,0.037
368,31.565,349.595,147.029,144.551,61.394,76.984,159.095,0.56,0.811,0.567,194.117,2.6,3.082,2.435,10.945,10.987,16.229,10.877,5.175,23.753,10.586,9.291,3.869,3.496,11.257,0.64,2.901,1.739,11.919,4.6,3.068,0.147,0.312,0.298,0.117,0.468
369,39.632,234.594,112.785,103.248,48.284,74.948,122.495,0.42,-0.533,0.579,139.753,2.2,3.015,5.202,12.194,7.95,7.178,3.697,6.182,16.939,10.263,10.098,2.473,3.097,10.551,0.66,0.207,0.676,6.932,4.6,2.958,0.144,0.049,0.174,0.022,0.094
370,57.816,260.254,158.415,153.997,53.18,82.9,166.933,0.48,-0.939,-0.009,163.844,0.2,3.067,16.741,6.213,3.197,5.944,2.545,6.002,21.963,11.296,10.374,4.051,4.233,11.987,0.56,0.187,0.919,12.972,3.2,3.087,0.378,0.292,0.389,0.644,0.13
371,35.375,338.239,138.624,122.59,70.823,76.237,155.345,0.4,0.487,0.978,214.157,3.2,3.04,12.017,0.707,9.721,12.983,11.541,4.702,19.014,10.395,9.805,3.169,2.775,10.858,0.6,0.994,1.056,10.012,4.6,3.11,0.481,0.192,0.432,0.251,0.345
372,23.698,220.482,103.592,97.663,48.123,70.355,114.021,0.46,-0.446,0.424,145.125,0.8,3.017,6.282,11.81,6.835,12.849,11.666,6.296,23.227,10.462,9.99,3.221,3.385,10.937,0.66,4.706,1.956,10.43,5.0,3.098,0.395,0.237,0.408,0.115,0.284
373,10.881,252.689,121.723,129.033,55.371,88.8,133.496,0.4,-0.525,0.123,166.201,2.6,3.035,6.583,9.498,4.702,13.638,4.08,4.548,20.487,10.659,9.609,3.777,3.662,11.296,0.56,0.339,0.94,10.788,4.8,2.985,0.06,0.146,0.232,0.392,0.162
374,32.146,340.078,154.669,130.419,77.339,96.324,172.581,0.48,-0.594,0.596,248.354,1.2,3.128,6.54,11.528,11.722,6.188,10.251,5.011,23.37,10.497,9.662,3.772,3.321,11.141,0.64,3.077,1.684,11.32,4.2,3.044,0.253,0.172,0.664,0.415,0.297
375,15.963,224.321,105.988,97.072,53.389,77.364,118.435,0.4,-0.684,0.447,150.909,2.2,2.987,7.093,6.244,10.573,2.588,5.025,6.798,18.863,10.352,9.714,2.611,2.243,10.67,0.6,1.615,1.355,7.491,2.2,2.992,0.123,0.066,0.119,0.189,0.316
376,8.824,596.828,176.464,163.523,92.136,82.876,198.642,0.48,7.15,2.037,291.345,4.6,3.076,8.347,21.25,16.236,15.78,14.658,2.971,22.349,11.366,10.637,4.268,4.14,12.126,0.58,0.508,0.634,13.835,4.8,3.125,0.283,0.591,0.407,0.561,0.562
377,26.213,266.075,123.604,111.498,60.935,81.7,137.538,0.36,-0.417,0.623,196.598,0.2,3.1,15.629,12.437,5.127,8.042,4.941,4.623,25.418,10.563,9.683,3.764,3.011,11.201,0.56,3.56,1.546,12.089,2.8,3.105,0.81,0.692,0.324,0.162,0.53
378,18.02,200.436,91.326,84.173,48.178,56.257,103.03,0.48,-0.387,0.592,157.168,1.2,3.122,3.774,8.282,6.591,7.082,10.359,6.846,22.498,10.698,9.997,3.222,3.126,11.163,0.62,2.874,1.535,10.239,3.2,3.112,0.292,0.536,0.328,0.433,0.108
379,50.283,264.716,142.895,136.823,51.197,62.546,151.617,0.48,-0.231,0.425,157.947,2.6,3.055,11.897,1.438,1.891,1.445,8.816,6.027,20.686,10.338,9.567,3.142,3.575,10.796,0.64,1.491,1.212,8.094,4.8,2.916,0.137,0.267,0.162,0.076,0.079
381,14.893,326.573,126.651,112.153,67.253,63.349,143.084,0.48,1.012,1.066,211.843,2.6,3.098,7.771,13.275,8.196,9.428,7.347,5.379,22.767,11.366,9.883,4.239,3.705,12.115,0.52,0.402,1.071,12.108,3.2,2.986,0.343,0.35,0.64,0.373,0.256
382,32.06,270.408,162.098,174.497,53.288,70.005,170.466,0.46,-0.324,-0.405,163.928,4.0,3.075,7.177,9.137,6.36,10.819,6.133,4.678,22.771,11.049,10.06,4.274,5.525,11.832,0.44,0.502,1.059,13.29,2.8,3.073,0.737,0.304,0.408,0.497,0.996
383,10.317,239.826,129.004,121.493,60.937,89.631,142.412,0.46,-0.822,0.216,177.478,0.2,2.997,20.55,5.058,9.526,3.376,11.62,5.224,19.257,10.481,9.511,3.587,3.63,11.066,0.52,0.156,0.963,10.523,3.6,2.98,0.45,0.784,0.834,0.53,0.292
384,17.524,214.415,80.446,77.316,45.992,61.301,92.436,0.46,0.344,0.899,152.125,5.0,3.115,6.524,9.878,2.632,10.205,4.529,6.618,13.954,10.13,10.149,1.816,2.788,10.288,0.52,-0.747,0.04,5.825,5.0,3.073,0.151,0.217,0.087,0.125,0.091
385,20.816,322.868,130.319,125.271,70.083,78.832,147.636,0.36,0.47,0.906,225.07,0.2,3.113,17.217,1.376,12.841,6.159,6.936,5.721,21.297,10.257,9.678,3.032,2.726,10.687,0.52,2.805,1.485,9.255,2.8,3.054,0.437,0.449,0.482,0.675,0.157
386,20.986,265.305,106.425,93.555,63.788,89.381,123.749,0.46,-0.353,0.734,205.668,2.4,3.098,13.413,3.462,6.164,8.105,5.453,5.927,17.734,10.525,10.367,2.916,4.11,10.913,0.6,-0.152,0.533,8.955,2.6,3.049,0.038,0.169,0.143,0.328,0.19
387,17.866,230.669,131.919,135.59,48.321,71.011,140.324,0.52,-0.618,-0.139,158.773,0.6,3.141,9.186,10.143,10.218,5.507,2.767,5.373,20.772,10.691,10.029,3.408,3.84,11.21,0.6,1.789,1.327,10.655,4.8,3.06,0.105,0.5,0.493,0.335,0.536
388,18.352,522.56,123.549,108.428,88.147,71.503,151.258,0.52,6.966,2.223,270.107,5.0,3.017,20.037,15.185,18.648,6.267,3.582,5.727,19.494,10.238,9.921,2.768,2.991,10.599,0.62,1.751,1.147,8.788,4.6,3.084,0.281,0.46,0.099,0.293,0.258
389,26.736,362.17,128.654,117.361,69.256,85.025,145.782,0.4,2.312,1.284,217.75,0.2,3.093,23.328,5.615,11.849,6.438,13.808,3.532,19.034,10.422,9.799,3.177,4.662,10.886,0.48,-0.058,0.441,10.257,4.2,3.098,0.558,0.244,0.044,0.493,0.426
390,19.594,352.978,102.721,78.484,72.219,75.653,125.152,0.52,1.883,1.421,213.586,2.4,3.033,17.164,6.536,5.634,9.236,8.96,5.789,16.719,10.224,9.794,2.456,3.193,10.509,0.5,-0.268,0.462,7.666,2.4,3.074,0.05,0.171,0.285,0.353,0.057
391,18.245,275.634,104.706,87.364,65.588,86.178,123.203,0.26,0.187,0.915,200.073,0.2,3.061,24.715,11.719,11.465,6.12,4.638,5.665,20.978,10.765,10.207,2.616,3.093,11.073,0.52,3.325,1.299,7.95,2.2,3.054,0.122,0.413,0.052,0.109,0.165
392,16.642,288.772,138.54,148.837,59.804,80.481,150.66,0.42,-0.218,0.02,181.1,0.8,3.053,12.893,7.543,2.239,17.621,4.091,2.998,21.705,10.795,10.024,3.521,3.826,11.344,0.54,1.657,0.892,10.577,2.6,3.047,0.143,0.899,0.189,0.141,0.481
393,55.594,321.651,149.183,141.788,61.076,77.813,160.97,0.54,0.713,0.94,180.289,1.0,3.006,9.734,11.033,5.881,15.469,17.707,4.253,18.998,10.96,10.621,2.778,3.653,11.3,0.44,0.589,0.474,8.735,0.4,3.082,0.438,0.752,0.532,0.191,0.257
394,34.008,259.365,126.991,109.147,59.159,74.285,139.844,0.38,-0.444,0.722,184.26,0.2,3.082,16.252,1.025,8.371,5.77,6.472,6.631,19.843,10.504,9.777,3.167,3.061,10.962,0.52,1.695,1.413,9.523,2.4,3.026,0.393,0.16,0.065,0.338,0.298
395,9.612,175.412,70.455,63.791,39.154,42.87,80.413,0.46,-0.199,0.7,122.768,0.6,3.082,6.725,1.882,10.502,2.417,5.91,6.754,16.582,10.423,9.792,2.33,2.297,10.675,0.6,0.256,1.003,7.379,4.0,3.094,0.372,0.111,0.253,0.256,0.135
396,19.343,264.678,102.576,85.823,57.785,64.267,117.448,0.48,-0.026,0.718,185.866,2.6,3.113,11.694,12.275,8.074,1.744,4.611,5.158,19.339,10.34,9.703,2.953,2.796,10.746,0.56,1.078,1.069,8.712,4.6,2.991,0.33,0.164,0.105,0.043,0.3
397,14.397,258.714,102.928,89.341,61.413,79.462,119.542,0.34,-0.129,0.794,179.271,0.2,3.014,24.087,3.498,11.496,12.684,3.807,5.97,23.757,10.304,9.989,2.971,2.55,10.716,0.58,7.15,2.213,9.329,1.4,3.085,0.076,0.305,0.214,0.274,0.344
398,21.304,287.488,119.468,121.387,53.7,54.887,130.761,0.52,1.274,0.882,163.113,2.6,3.045,7.501,2.319,2.232,9.35,10.2,5.85,20.824,10.619,8.868,4.112,5.389,11.373,0.46,-0.069,1.028,11.206,2.6,2.876,0.121,0.232,0.187,0.331,0.287
399,33.914,323.594,119.915,104.22,76.057,98.942,141.593,0.36,0.271,1.008,202.945,0.2,2.956,37.151,10.882,11.212,7.211,4.664,5.961,22.673,10.611,10.08,3.124,2.854,11.053,0.52,3.496,1.56,10.006,0.6,3.082,0.579,0.451,0.796,0.575,0.349
400,8.25,282.845,113.534,100.668,69.989,95.924,133.005,0.42,-0.403,0.581,221.44,0.6,3.102,14.301,12.156,19.088,12.021,8.31,5.573,27.121,10.954,9.278,4.745,3.362,11.919,0.56,3.01,1.803,14.668,5.0,3.022,0.294,0.181,0.431,0.144,0.143
402,13.031,168.852,73.374,69.953,33.354,35.772,80.461,0.56,0.62,0.884,103.333,1.8,3.065,3.288,4.272,8.115,6.508,4.805,7.897,15.231,10.348,9.836,1.767,2.142,10.495,0.56,0.321,1.0,5.564,3.8,3.087,0.281,0.037,0.246,0.292,0.072
403,10.102,276.808,118.856,104.032,65.856,84.266,135.562,0.4,-0.398,0.442,188.733,0.2,3.01,28.286,3.875,6.752,11.857,9.945,5.727,23.125,10.691,10.033,3.422,2.189,11.215,0.48,4.252,1.906,11.458,4.4,3.146,0.475,0.245,0.349,0.694,0.518
404,50.717,230.295,117.94,103.839,44.746,70.315,125.984,0.38,-0.471,0.506,139.811,1.4,3.093,5.836,9.047,7.784,3.45,4.048,4.949,22.492,11.02,10.338,3.698,2.421,11.612,0.48,2.04,1.329,11.494,4.4,3.061,0.27,0.112,0.232,0.262,0.558
405,36.397,292.439,145.504,136.572,62.338,80.087,158.05,0.52,-0.464,0.479,159.862,2.8,2.86,16.865,4.367,3.094,2.292,6.633,4.028,21.574,10.322,9.549,3.869,4.937,11.01,0.48,0.264,0.747,11.738,4.2,3.028,0.125,0.109,0.124,0.165,0.683
406,32.342,275.25,136.803,136.845,56.469,80.625,147.784,0.62,-0.465,0.344,178.516,1.4,3.105,7.886,8.962,5.09,3.769,4.408,5.164,26.628,11.583,10.11,5.405,3.722,12.759,0.38,1.272,1.495,16.906,4.8,3.077,0.267,0.604,0.052,0.293,0.541
407,20.15,312.0,130.559,130.172,62.592,72.558,144.516,0.42,0.663,0.703,189.399,0.6,3.059,17.989,10.952,18.924,6.531,3.899,5.562,25.321,11.078,9.64,4.823,2.596,12.063,0.38,1.616,1.587,13.721,4.8,2.955,0.315,0.158,0.246,0.9,0.382
408,11.338,243.268,80.69,71.643,55.105,78.708,97.4,0.32,0.402,0.941,161.026,0.2,3.011,18.247,17.713,3.109,10.215,1.352,6.592,17.521,10.094,9.634,1.858,1.418,10.26,0.46,4.308,1.668,5.444,4.0,3.02,0.308,0.032,0.108,0.024,0.11
409,21.843,314.9,133.266,113.658,75.528,119.716,152.807,0.52,-0.668,0.597,212.272,2.4,3.023,9.683,5.195,9.352,2.528,6.981,5.888,19.272,10.179,9.733,2.795,4.29,10.549,0.7,0.606,0.866,8.124,4.8,3.04,0.288,0.087,0.215,0.178,0.336
410,27.96,268.867,126.375,123.365,65.145,95.725,141.879,0.34,-0.754,0.301,211.763,0.2,3.128,17.232,12.895,10.19,9.625,13.015,4.735,22.124,10.895,10.424,3.501,4.029,11.433,0.64,0.831,0.836,10.616,4.6,3.064,0.333,0.331,0.312,0.16,0.256
411,6.958,171.046,60.135,49.671,39.034,43.336,71.48,0.36,0.485,1.047,122.313,1.6,3.091,6.992,7.838,5.522,5.969,6.775,4.967,12.19,9.66,9.871,1.254,1.537,9.74,0.6,2.428,-1.023,3.681,4.4,3.018,0.058,0.167,0.058,0.03,0.125
412,21.626,338.648,124.811,104.333,83.697,110.328,149.809,0.4,-0.021,0.935,261.073,0.4,3.044,4.287,22.241,19.44,12.721,10.995,6.002,19.975,10.532,10.415,2.706,3.3,10.867,0.62,1.779,1.015,7.805,4.8,2.974,0.165,0.047,0.284,0.039,0.084
413,29.33,385.534,126.719,121.137,65.377,90.525,142.289,0.38,3.119,1.35,212.138,2.6,3.13,9.372,9.545,9.469,11.091,9.078,5.76,18.852,10.343,9.574,3.153,4.778,10.804,0.68,-0.21,0.798,8.286,4.8,2.912,0.073,0.108,0.171,0.192,0.184
414,27.104,294.295,110.124,99.715,61.445,57.766,125.806,0.34,0.735,1.013,180.922,0.2,3.054,25.89,8.98,5.783,9.791,14.08,5.025,16.119,10.129,9.87,2.305,2.826,10.383,0.52,0.193,0.494,7.013,2.4,3.056,0.213,0.205,0.025,0.365,0.566
415,32.015,736.272,173.13,150.93,125.682,104.699,213.199,0.48,10.158,2.928,402.281,1.0,3.106,24.535,17.033,15.82,10.38,29.171,0.717,24.475,10.844,9.735,4.517,4.324,11.73,0.56,1.614,1.053,13.597,4.4,3.036,0.382,0.33,0.328,0.168,0.54
416,10.249,227.965,95.249,91.899,48.648,58.945,106.732,0.48,0.089,0.645,147.095,2.2,3.056,1.864,7.505,3.303,9.276,6.273,6.183,18.199,10.401,9.78,2.628,2.683,10.721,0.64,0.929,0.954,7.632,4.2,3.01,0.102,0.143,0.141,0.1,0.205
417,31.088,256.164,129.302,122.516,57.036,86.5,141.092,0.42,-0.786,0.291,164.971,0.2,2.983,18.243,7.991,10.307,6.961,2.807,5.871,20.603,10.632,10.07,3.392,3.093,11.149,0.52,1.715,1.344,9.864,4.0,3.008,0.213,0.165,0.016,0.322,0.462
419,21.88,229.186,117.847,113.682,60.227,95.41,132.07,0.56,-1.074,0.23,190.73,2.2,3.092,6.128,5.404,3.338,9.093,7.106,5.79,20.425,10.548,9.185,3.62,4.195,11.14,0.54,0.455,1.124,10.35,3.0,2.981,0.263,0.149,0.338,0.125,0.263
