,gyrMag-min,gyrMag-max,gyrMag-mean,gyrMag-median,gyrMag-std,gyrMag-IQR,gyrMag-RMS,gyrMag-MCR,gyrMag-Kurt,gyrMag-Skew,gyrMag-frEnergy,gyrMag-PeakFreq,gyrMag-frDmEntroPy,gyrMag-frMag1,gyrMag-frMag2,gyrMag-frMag3,gyrMag-frMag4,gyrMag-frMag5,accMag-min,accMag-max,accMag-mean,accMag-median,accMag-std,accMag-IQR,accMag-RMS,accMag-MCR,accMag-Kurt,accMag-Skew,accMag-frEnergy,accMag-PeakFreq,accMag-frDmEntroPy,accMag-frMag1,accMag-frMag2,accMag-frMag3,accMag-frMag4,accMag-frMag5,count,label,cattle_id,timestamp,timestamp_human
49,26.351,182.884,91.13,82.298,43.573,67.35,100.824,0.42,-0.609,0.555,140.702,0.4,3.122,8.317,11.589,2.614,4.303,1.894,7.096,18.731,10.628,10.274,2.24,2.111,10.857,0.58,2.838,1.432,7.012,3.8,3.088,0.329,0.085,0.148,0.291,0.134,50,walking,goat03,490001,1970-01-01 00:08:10.001
50,28.927,315.221,122.677,100.37,73.797,89.434,142.782,0.22,0.013,0.91,215.096,0.2,3.039,32.208,8.454,13.044,12.568,10.227,6.229,25.504,10.7,10.086,3.379,2.734,11.211,0.52,6.755,2.281,11.352,5.0,3.135,0.633,0.474,0.487,0.623,0.24,50,walking,goat03,500001,1970-01-01 00:08:20.001
51,29.744,382.22,181.67,173.873,85.925,103.563,200.597,0.48,0.073,0.646,275.61,1.4,3.103,9.324,13.891,7.11,14.227,11.436,4.52,28.351,11.297,10.203,5.138,4.12,12.39,0.56,1.733,1.436,16.489,4.8,3.122,0.553,0.117,0.596,0.456,0.59,50,walking,goat03,510001,1970-01-01 00:08:30.001
52,30.59,345.954,130.109,112.86,73.076,74.307,148.868,0.54,0.953,1.229,230.67,4.6,3.096,11.87,16.551,9.996,13.345,14.093,6.857,18.386,10.394,10.107,2.383,2.252,10.659,0.58,2.464,1.393,7.577,5.0,3.051,0.156,0.146,0.216,0.037,0.221,50,walking,goat03,520001,1970-01-01 00:08:40.001
53,23.939,281.464,125.785,119.408,58.564,76.636,138.503,0.48,-0.126,0.452,189.941,1.8,3.124,6.503,10.826,4.973,6.702,8.534,5.996,21.053,10.393,9.616,3.511,3.341,10.959,0.52,1.574,1.453,11.003,5.0,3.019,0.335,0.349,0.146,0.296,0.272,50,walking,goat03,530001,1970-01-01 00:08:50.001
54,30.226,380.118,155.852,154.111,70.814,88.226,170.893,0.4,0.818,0.856,228.6,2.2,3.116,12.03,9.59,3.155,12.588,5.422,3.635,20.064,10.599,10.255,3.614,3.166,11.187,0.64,0.749,0.9,11.578,4.6,3.094,0.087,0.247,0.403,0.493,0.431,50,walking,goat03,540001,1970-01-01 00:09:00.001
55,17.517,419.561,89.216,78.429,66.366,64.584,110.797,0.34,10.979,2.838,207.349,4.2,3.078,8.009,11.917,14.194,8.236,10.338,7.409,13.479,10.305,10.082,1.372,1.582,10.394,0.52,0.037,0.578,4.009,3.6,3.013,0.136,0.2,0.101,0.105,0.193,50,walking,goat03,550001,1970-01-01 00:09:10.001
56,38.992,336.046,141.073,127.971,69.952,88.877,157.152,0.5,0.468,0.946,216.304,2.4,3.083,4.821,3.489,8.039,3.725,7.359,5.77,19.984,10.822,10.074,3.15,4.116,11.262,0.48,1.004,1.1,9.522,2.4,3.001,0.033,0.532,0.406,0.117,0.32,50,walking,goat03,560001,1970-01-01 00:09:20.001
57,15.028,218.178,70.205,61.391,47.822,52.1,84.675,0.26,1.84,1.427,143.557,0.4,3.069,5.668,17.321,2.827,4.964,14.342,8.693,14.704,10.686,10.404,1.261,1.548,10.758,0.6,0.693,0.818,3.841,4.6,3.057,0.165,0.04,0.144,0.149,0.137,50,walking,goat03,570001,1970-01-01 00:09:30.001
58,21.982,658.593,141.8,119.955,109.151,88.784,178.277,0.32,8.549,2.464,341.361,0.2,3.095,36.049,16.009,16.092,11.317,18.335,3.419,20.45,10.499,9.867,2.905,3.273,10.886,0.66,2.017,0.867,8.818,4.2,3.071,0.392,0.433,0.214,0.095,0.167,50,walking,goat03,580001,1970-01-01 00:09:40.001
